"original","standardized","status"
"TAG O-22:0_16:2_16:2","TG(O-22:0/16:2/16:2)","Modified"
"Cer-NDS d18:0/22:0","Cer-NDSd18:0/22:0","Modified"
"PC O-39:5","PCO-(PCO-39:5)","Modified"
"DG 17:0_18:5","DG(17:0/18:5)","Modified"
"PC O-32:2","PCO-(PCO-32:2)","Modified"
"RIKEN P-VS1 ID-18617 from Mouse_Brain_WT_N_F1AA",NA,"Skipped"
"HexCer 18:1","HexCer18:1","Modified"
"PC 33:1","PC(33:1)","Modified"
"TAG O-10:0_12:0_12:0","TG(O-10:0/12:0/12:0)","Modified"
"TAG 17:1/18:2/18/2","TG(17:1/18:2/18/2)","Modified"
"SM 17:1","SM(17:1)","Modified"
"PE O-24:6_16:0","PEO-(PEO-24:6/16:0)","Modified"
"PC 35:1","PC(35:1)","Modified"
"PC 12:0/24:6","PC(12:0/24:6)","Modified"
"TAG 17:0_19:1_22:6","TG(17:0/19:1/22:6)","Modified"
"Cer 38:5","Cer38:5","Modified"
"TAG 8:0_16:4_20:5","TG(8:0/16:4/20:5)","Modified"
"PC 40:7","PC(40:7)","Modified"
"RIKEN P-VS1 ID-7159 from Mouse_Brain_WT_N_F1",NA,"Skipped"
"SM 44:4","SM(44:4)","Modified"
"RIKEN P-VS1 ID-5929 from Mouse_Feces_WT_N_Ctr",NA,"Skipped"
"PE 38:5e","PE(38:5e)","Modified"
"PI 37:4","PI(37:4)","Modified"
"PC 32:0","PC(32:0)","Modified"
"MGDG 17:0_22:5","MGDG(17:0/22:5)","Modified"
"PS 40:6","PS(40:6)","Modified"
"DGGA 27:0_16:1","DGGA(27:0/16:1)","Modified"
"SM 15:3","SM(15:3)","Modified"
"HexCer 41:1","HexCer41:1","Modified"
"DGTS 3:0_27:0","DGTS(3:0/27:0)","Modified"
"Cer 42:4   [need to validate]",NA,"Skipped"
"SM 33:1","SM(33:1)","Modified"
"RIKEN P-VS1 ID-11908 from Mouse_SmallIntestine_WT_N_F1AA",NA,"Skipped"
"PC O-33:2","PCO-(PCO-33:2)","Modified"
"TAG 14:0_16:1_18:3","TG(14:0/16:1/18:3)","Modified"
"TAG 18:4_21:2_26:5","TG(18:4/21:2/26:5)","Modified"
"RIKEN P-VS1 ID-14767 from Mouse_Heart_WT_N_F1DHA",NA,"Skipped"
"PC 37:5","PC(37:5)","Modified"
"PC 38:4e","PC(38:4e)","Modified"
"CL 72:4","CL(72:4)","Modified"
"TAG 8:0_18:4_18:5","TG(8:0/18:4/18:5)","Modified"
"PC O-30:4","PCO-(PCO-30:4)","Modified"
"PC 18:1_20:3","PC(18:1/20:3)","Modified"
"Cer 9:0","Cer9:0","Modified"
"TAG 21:0_22:6_22:6","TG(21:0/22:6/22:6)","Modified"
"TAG 8:0_8:0_34:7","TG(8:0/8:0/34:7)","Modified"
"PC O-33:5","PCO-(PCO-33:5)","Modified"
"RIKEN P-VS1 ID-19924 from Mouse_AdrenalGlands_WT_N_Ctr",NA,"Skipped"
"PC 26:0","PC(26:0)","Modified"
"TAG 52:5","TG(52:5)","Modified"
"LPC O-16:1","LPCO-(LPCO-16:1)","Modified"
"RIKEN P-VS1 ID-7297 from Mouse_Feces_WT_N_Ctr",NA,"Skipped"
"PE O-22:6_18:1","PEO-(PEO-22:6/18:1)","Modified"
"RIKEN P-VS1 ID-6994 from Mouse_Feces_WT_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-1478 from Mouse_Aorta_WT_N_Ctr",NA,"Skipped"
"PC 32:2e","PC(32:2e)","Modified"
"SM 34:1","SM(34:1)","Modified"
"TAG 52:4","TG(52:4)","Modified"
"PC O-33:5","PCO-(PCO-33:5)","Modified"
"PC 40:7","PC(40:7)","Modified"
"PS 24:2_18:5","PS(24:2/18:5)","Modified"
"PC O-35:2","PCO-(PCO-35:2)","Modified"
"TAG 60:4","TG(60:4)","Modified"
"HBMP 12:0_14:1_16:4","HBMP(12:0/14:1/16:4)","Modified"
"PC(16:0/0","PC(16:0/0:0","Modified"
"TAG 62:5","TG(62:5)","Modified"
"TAG 14:0_16:1_20:4","TG(14:0/16:1/20:4)","Modified"
"PI 36:4","PI(36:4)","Modified"
"PC O-31:1","PCO-(PCO-31:1)","Modified"
"CE 11:0","CE(11:0)","Modified"
"PI 38:6","PI(38:6)","Modified"
"BMP 44:10","BMP(44:10)","Modified"
"PC 36:3 +[M+H]+","PC(36:3+[M+H]+)","Modified"
"PC O-42:11","PCO-(PCO-42:11)","Modified"
"RIKEN P-VS1 ID-5423 from Mouse_Plasma_ApoEKO_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-18916 from Mouse_Muscle_fads2KO_N_Ctr",NA,"Skipped"
"PE 36:1","PE(36:1)","Modified"
"Cer-NDS d34:0","Cer-NDSd34:0","Modified"
"SM 19:1","SM(19:1)","Modified"
"TAG 16:0_22:2_24:5","TG(16:0/22:2/24:5)","Modified"
"TAG 52:4","TG(52:4)","Modified"
"TAG 54:6","TG(54:6)","Modified"
"TAG 58:11","TG(58:11)","Modified"
"PC 38:7","PC(38:7)","Modified"
"PC 32:2","PC(32:2)","Modified"
"PC O-34:3","PCO-(PCO-34:3)","Modified"
"PE 18:0_18:2","PE(18:0/18:2)","Modified"
"PC 36:3","PC(36:3)","Modified"
"LPC 42:12-SN1","LPC(42:12-SN1)","Modified"
"TAG 8:0_8:0_30:4","TG(8:0/8:0/30:4)","Modified"
"TAG 56:6","TG(56:6)","Modified"
"TAG 16:0_18:1_22:6 + [M+NH4]+","TG(16:0/18:1/22:6+[M+NH4]+)","Modified"
"SM 8:1","SM(8:1)","Modified"
"LPC 42:1","LPC(42:1)","Modified"
"DG O-9:0_24:4","DGO-(DGO-9:0/24:4)","Modified"
"TAG O-8:0_22:5_22:5","TG(O-8:0/22:5/22:5)","Modified"
"TAG 8:0_9:0_36:2","TG(8:0/9:0/36:2)","Modified"
"RIKEN P-VS1 ID-20089 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"20230830-Pos-unknown-11",NA,"Skipped"
"RIKEN P-VS1 ID-19963 from Mouse_SmallIntestine_WT_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-18619 from Mouse_Plasma_WT_N_F1",NA,"Skipped"
"TAG 62:12","TG(62:12)","Modified"
"CL 72:5","CL(72:5)","Modified"
"TAG 60:12","TG(60:12)","Modified"
"PC O-32:5","PCO-(PCO-32:5)","Modified"
"PC O-42:6","PCO-(PCO-42:6)","Modified"
"PC 32:2","PC(32:2)","Modified"
"TAG 9:0_23:0_32:9","TG(9:0/23:0/32:9)","Modified"
"PC O-35:3","PCO-(PCO-35:3)","Modified"
"PC O-34:1","PCO-(PCO-34:1)","Modified"
"TAG 56:8","TG(56:8)","Modified"
"RIKEN P-VS1 ID-12193 from Mouse_Muscle_fads2KO_N_Ctr",NA,"Skipped"
"TAG 14:0_15:1_16:0","TG(14:0/15:1/16:0)","Modified"
"TAG 62:11","TG(62:11)","Modified"
"PE 9:0_38:8","PE(9:0/38:8)","Modified"
"PC 32:0e","PC(32:0e)","Modified"
"BMP 42:9","BMP(42:9)","Modified"
"TAG 16:1_21:1_26:4","TG(16:1/21:1/26:4)","Modified"
"DGGA 20:4_20:4","DGGA(20:4/20:4)","Modified"
"TAG 60:8","TG(60:8)","Modified"
"PC 10:0/28:1","PC(10:0/28:1)","Modified"
"TAG 57:2","TG(57:2)","Modified"
"TAG 18:5_18:5_20:0","TG(18:5/18:5/20:0)","Modified"
"Cer 20:3","Cer20:3","Modified"
"PC 30:1e","PC(30:1e)","Modified"
"PC 31:0","PC(31:0)","Modified"
"RIKEN P-VS1 ID-18434 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"PC 36:5e","PC(36:5e)","Modified"
"PE 36:4e","PE(36:4e)","Modified"
"RIKEN P-VS1 ID-6531 from Mouse_Plasma_ApoEKO_N_F1DHA",NA,"Skipped"
"PC 34:1","PC(34:1)","Modified"
"DG 18:2_22:4","DG(18:2/22:4)","Modified"
"PE O-19:1_24:5","PEO-(PEO-19:1/24:5)","Modified"
"TAG O-18:2_16:2_22:1","TG(O-18:2/16:2/22:1)","Modified"
"TAG 10:0_28:5_28:6","TG(10:0/28:5/28:6)","Modified"
"TAG 18:3_22:0_24:2","TG(18:3/22:0/24:2)","Modified"
"maybe CE 20:6",NA,"Skipped"
"RIKEN P-VS1 ID-16094 from Mouse_Kidney_WT_N_F1EPA",NA,"Skipped"
"PC 39:6","PC(39:6)","Modified"
"TAG 18:2_18:3_20:4","TG(18:2/18:3/20:4)","Modified"
"PG 40:4","PG(40:4)","Modified"
"LPC 30:1","LPC(30:1)","Modified"
"RIKEN P-VS1 ID-6428 from Cell_C2C12_WT_N_4hCtr",NA,"Skipped"
"TAG 10:0_24:0_28:5","TG(10:0/24:0/28:5)","Modified"
"RIKEN P-VS1 ID-1666 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"PC 35:6","PC(35:6)","Modified"
"LPE 40:6","LPE(40:6)","Modified"
"PC 34:0","PC(34:0)","Modified"
"PC O-40:5","PCO-(PCO-40:5)","Modified"
"PE O-9:0_24:2","PEO-(PEO-9:0/24:2)","Modified"
"HBMP 12:0_12:0_12:0","HBMP(12:0/12:0/12:0)","Modified"
"PC 30:0e","PC(30:0e)","Modified"
"PE(P-18:0/18:2)","PE(P-18:0/18:2)","No Change"
"TAG O-58:4","TGO-(TGO-58:4)","Modified"
"TAG 56:6","TG(56:6)","Modified"
"TAG O-22:0_18:3_18:3","TG(O-22:0/18:3/18:3)","Modified"
"PC 36:1e","PC(36:1e)","Modified"
"PI 45:1","PI(45:1)","Modified"
"PC O-42:9","PCO-(PCO-42:9)","Modified"
"PC O-33:0","PCO-(PCO-33:0)","Modified"
"PC 36:3","PC(36:3)","Modified"
"SM 33:4","SM(33:4)","Modified"
"SFTSV infected -unknown-4",NA,"Skipped"
"PC O-42:7","PCO-(PCO-42:7)","Modified"
"LPE 42:10","LPE(42:10)","Modified"
"PC 33:0","PC(33:0)","Modified"
"TAG 56:7","TG(56:7)","Modified"
"PS 38:1","PS(38:1)","Modified"
"PI 40:4","PI(40:4)","Modified"
"PC 36:0","PC(36:0)","Modified"
"PC 35:1","PC(35:1)","Modified"
"PC O-40:8","PCO-(PCO-40:8)","Modified"
"TAG 52:2","TG(52:2)","Modified"
"RIKEN P-VS1 ID-5214 from Cell_C2C12_WT_N_0hCtr",NA,"Skipped"
"TAG 58:8","TG(58:8)","Modified"
"PC O-40:4","PCO-(PCO-40:4)","Modified"
"PS 40:1","PS(40:1)","Modified"
"PC 31:0","PC(31:0)","Modified"
"DGTS 8:0_26:1","DGTS(8:0/26:1)","Modified"
"TAG 10:0_22:0_30:7","TG(10:0/22:0/30:7)","Modified"
"TAG 10:0_26:4_28:6","TG(10:0/26:4/28:6)","Modified"
"TAG 60:3","TG(60:3)","Modified"
"PC 42:7","PC(42:7)","Modified"
"PC 15:0_22:6","PC(15:0/22:6)","Modified"
"CL 74:6","CL(74:6)","Modified"
"PI 40:7","PI(40:7)","Modified"
"RIKEN P-VS1 ID-19958 from Mouse_Brain_WT_N_Ctr",NA,"Skipped"
"PC 21:2_21:2","PC(21:2/21:2)","Modified"
"PE 40:4","PE(40:4)","Modified"
"TAG 56:8","TG(56:8)","Modified"
"PC 42:11","PC(42:11)","Modified"
"TAG 62:13","TG(62:13)","Modified"
"PS 24:0_16:3","PS(24:0/16:3)","Modified"
"TAG O-18:3_20:4_22:0","TG(O-18:3/20:4/22:0)","Modified"
"PC O-36:2","PCO-(PCO-36:2)","Modified"
"DG 18:1_22:4","DG(18:1/22:4)","Modified"
"PI 38:3","PI(38:3)","Modified"
"TAG 54:5(interference)",NA,"Skipped"
"HexCer 18:1","HexCer18:1","Modified"
"PC 36:3","PC(36:3)","Modified"
"RIKEN P-VS1 ID-6999 from Mouse_Liver_WT_N_Ctr",NA,"Skipped"
"PG 32:0  [need to validate]",NA,"Skipped"
"Cer-NDS d18:0/20:0","Cer-NDSd18:0/20:0","Modified"
"MGDG 25:0_20:1","MGDG(25:0/20:1)","Modified"
"PC O-36:4","PCO-(PCO-36:4)","Modified"
"PE 18:5_24:5","PE(18:5/24:5)","Modified"
"PC O-38:7","PCO-(PCO-38:7)","Modified"
"TAG O-22:2_16:0_18:2","TG(O-22:2/16:0/18:2)","Modified"
"SM 31:2","SM(31:2)","Modified"
"CL 70:3","CL(70:3)","Modified"
"PC O-38:8 and LPC 36:5+Na",NA,"Skipped"
"RIKEN P-VS1 ID-20083 from Mouse_BAT_fads2KO_N_Ctr",NA,"Skipped"
"PC 40:4","PC(40:4)","Modified"
"PI 36:3","PI(36:3)","Modified"
"PI 38:1","PI(38:1)","Modified"
"DGTS 6:0_26:1","DGTS(6:0/26:1)","Modified"
"RIKEN P-VS1 ID-5931 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"PC 40:3","PC(40:3)","Modified"
"PC 8:0_22:2","PC(8:0/22:2)","Modified"
"PC 36:6","PC(36:6)","Modified"
"TAG 10:0_18:5_18:5","TG(10:0/18:5/18:5)","Modified"
"PE 40:7","PE(40:7)","Modified"
"DG(16:0/16:0/0:0)","DG(16:0/16:0/0:0)","No Change"
"CL 70:4","CL(70:4)","Modified"
"SPB 22:0","SPB(22:0)","Modified"
"TAG 60:13","TG(60:13)","Modified"
"PC(18:1/0","PC(18:1/0:0","Modified"
"TAG O-22:3_18:1_18:1","TG(O-22:3/18:1/18:1)","Modified"
"RIKEN P-VS1 ID-11284 from Mouse_Kidney_WT_N_F1DHA",NA,"Skipped"
"TAG 18:0_20:1_24:5","TG(18:0/20:1/24:5)","Modified"
"PC O-39:6","PCO-(PCO-39:6)","Modified"
"DGCC 10:0_26:6","DGCC(10:0/26:6)","Modified"
"SM 16:2","SM(16:2)","Modified"
"HexCer 18:1","HexCer18:1","Modified"
"PC 32:1e","PC(32:1e)","Modified"
"PC 30:1","PC(30:1)","Modified"
"PC 33:2","PC(33:2)","Modified"
"PC O-35:4","PCO-(PCO-35:4)","Modified"
"TAG 15:0_22:6_22:6","TG(15:0/22:6/22:6)","Modified"
"SM 32:1","SM(32:1)","Modified"
"TAG 60:10","TG(60:10)","Modified"
"PS 44:10","PS(44:10)","Modified"
"TAG 58:1","TG(58:1)","Modified"
"PC 39:5","PC(39:5)","Modified"
"PC 35:3","PC(35:3)","Modified"
"MGDG 38:4","MGDG(38:4)","Modified"
"PC 38:2e","PC(38:2e)","Modified"
"TAG 60:11","TG(60:11)","Modified"
"TAG 59:4","TG(59:4)","Modified"
"PG 19:0_19:0","PG(19:0/19:0)","Modified"
"PC 37:1","PC(37:1)","Modified"
"SM 38:0","SM(38:0)","Modified"
"LPE 38:4","LPE(38:4)","Modified"
"CE 20:3","CE(20:3)","Modified"
"RIKEN P-VS1 ID-19993 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"TAG 58:9","TG(58:9)","Modified"
"PC 32:0","PC(32:0)","Modified"
"PC 17:0/18:2","PC(17:0/18:2)","Modified"
"DGTS 12:0_22:3","DGTS(12:0/22:3)","Modified"
"PC 16:4_26:7","PC(16:4/26:7)","Modified"
"PC 39:7","PC(39:7)","Modified"
"PC O-42:9","PCO-(PCO-42:9)","Modified"
"SM 9:0","SM(9:0)","Modified"
"SM 45:7","SM(45:7)","Modified"
"PE 70:18","PE(70:18)","Modified"
"BMP 18:0_22:3","BMP(18:0/22:3)","Modified"
"PC 28:0e","PC(28:0e)","Modified"
"PC 44:6","PC(44:6)","Modified"
"TAG 58:10","TG(58:10)","Modified"
"PC 37:6","PC(37:6)","Modified"
"RIKEN P-VS1 ID-10317 from Mouse_SmallIntestine_WT_N_F1",NA,"Skipped"
"SM 32:2","SM(32:2)","Modified"
"PC O-41:6","PCO-(PCO-41:6)","Modified"
"Ceramide(d18:0/18:0) [standard confirm]",NA,"Skipped"
"RIKEN P-VS1 ID-19950 from Mouse_Kidney_fads2KO_N_Ctr",NA,"Skipped"
"TAG O-14:0_18:3_22:0","TG(O-14:0/18:3/22:0)","Modified"
"PE O-16:2_17:0","PEO-(PEO-16:2/17:0)","Modified"
"DGCC 23:0_23:0","DGCC(23:0/23:0)","Modified"
"SM 38:4","SM(38:4)","Modified"
"TAG 56:5","TG(56:5)","Modified"
"RIKEN P-VS1 ID-20031 from Mouse_Testis_WT_N_Ctr",NA,"Skipped"
"SHexCer 18:3","SHexCer18:3","Modified"
"PC 16:1/18:2 OR PC 16:0/18:3",NA,"Skipped"
"PC 29:0","PC(29:0)","Modified"
"SM d42:2","SM(d42:2)","Modified"
"TAG 62:11","TG(62:11)","Modified"
"RIKEN P-VS1 ID-20157 from Mouse_BAT_fads2KO_N_Ctr",NA,"Skipped"
"PC 34:2e","PC(34:2e)","Modified"
"PC 38:3","PC(38:3)","Modified"
"TAG 18:2_18:2_20:5","TG(18:2/18:2/20:5)","Modified"
"SM 42:2","SM(42:2)","Modified"
"PS 34:1","PS(34:1)","Modified"
"PC O-34:6","PCO-(PCO-34:6)","Modified"
"HexCer 16:2","HexCer16:2","Modified"
"TAG 16:1_18:1_20:3","TG(16:1/18:1/20:3)","Modified"
"TAG 8:0_28:4_28:5","TG(8:0/28:4/28:5)","Modified"
"PI 47:3","PI(47:3)","Modified"
"PE 34:2e","PE(34:2e)","Modified"
"PC 38:2","PC(38:2)","Modified"
"PC 40:5","PC(40:5)","Modified"
"PC 42:6","PC(42:6)","Modified"
"TAG O-16:0_20:4_22:1","TG(O-16:0/20:4/22:1)","Modified"
"PC O-37:2","PCO-(PCO-37:2)","Modified"
"SM 40:3","SM(40:3)","Modified"
"TAG O-8:0_8:0_22:1","TG(O-8:0/8:0/22:1)","Modified"
"PC O-29:0","PCO-(PCO-29:0)","Modified"
"TAG 60:9","TG(60:9)","Modified"
"DGGA 12:0_22:3","DGGA(12:0/22:3)","Modified"
"PC O-44:8","PCO-(PCO-44:8)","Modified"
"TAG 10:0_10:0_22:1","TG(10:0/10:0/22:1)","Modified"
"PC 37:2","PC(37:2)","Modified"
"PC 40:2","PC(40:2)","Modified"
"HexCer 40:1","HexCer40:1","Modified"
"maybe  HexCer 17:2",NA,"Skipped"
"PC 28:0","PC(28:0)","Modified"
"SM 29:1","SM(29:1)","Modified"
"PC 42:5","PC(42:5)","Modified"
"RIKEN P-VS1 ID-3236 from Mouse_Muscle_fads2KO_N_Ctr",NA,"Skipped"
"TAG O-8:0_8:0_22:3","TG(O-8:0/8:0/22:3)","Modified"
"GM3 15:1","GM(315:1)","Modified"
"PE 24:0_16:1","PE(24:0/16:1)","Modified"
"PC 30:0","PC(30:0)","Modified"
"PC O-36:10","PCO-(PCO-36:10)","Modified"
"PI 35:1","PI(35:1)","Modified"
"TAG 16:0/20:2/22:6","TG(16:0/20:2/22:6)","Modified"
"TAG 8:0_24:1_30:7","TG(8:0/24:1/30:7)","Modified"
"TAG 58:11","TG(58:11)","Modified"
"TAG 64:15","TG(64:15)","Modified"
"RIKEN P-VS1 ID-6180 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"SM d34:1","SM(d34:1)","Modified"
"CL 68:2","CL(68:2)","Modified"
"MGDG 18:1_22:3","MGDG(18:1/22:3)","Modified"
"TAG16:0/22:6/22:6","TG(16:0)","Modified"
"PC 32:1","PC(32:1)","Modified"
"TAG 64:16","TG(64:16)","Modified"
"LPE 40:5","LPE(40:5)","Modified"
"TAG 19:0_19:0_21:1","TG(19:0/19:0/21:1)","Modified"
"RIKEN P-VS1 ID-16341 from Mouse_Feces_WT_N_Ctr",NA,"Skipped"
"HexCer 44:4","HexCer44:4","Modified"
"PC 34:0e","PC(34:0e)","Modified"
"RIKEN P-VS1 ID-19808 from Mouse_Muscle_fads2KO_N_Ctr",NA,"Skipped"
"CL 74:7","CL(74:7)","Modified"
"TAG O-8:0_16:2_16:2","TG(O-8:0/16:2/16:2)","Modified"
"BMP 44:12","BMP(44:12)","Modified"
"PC 37:3","PC(37:3)","Modified"
"RIKEN P-VS1 ID-18829 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"PC O-42:5","PCO-(PCO-42:5)","Modified"
"RIKEN P-VS1 ID-6444 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"TAG 53:2","TG(53:2)","Modified"
"PC 18:0_22:1","PC(18:0/22:1)","Modified"
"PE 16:4_38:10","PE(16:4/38:10)","Modified"
"DGTS 12:0_26:1","DGTS(12:0/26:1)","Modified"
"PE O-23:0_22:6","PEO-(PEO-23:0/22:6)","Modified"
"PE 38:4","PE(38:4)","Modified"
"20230830-Pos-unknown-2",NA,"Skipped"
"TAG 58:9","TG(58:9)","Modified"
"PE O-17:1_20:4","PEO-(PEO-17:1/20:4)","Modified"
"20230830-Pos-unknown-10",NA,"Skipped"
"CE 38:7","CE(38:7)","Modified"
"PC 33:2 +[M+Na]+",NA,"Skipped"
"TAG 14:1_22:0_24:0","TG(14:1/22:0/24:0)","Modified"
"RIKEN P-VS1 ID-17183 from Mouse_Plasma_ApoEKO_N_F1DHA",NA,"Skipped"
"TAG 18:1/20:4/22:6","TG(18:1/20:4/22:6)","Modified"
"HexCer 23:3","HexCer23:3","Modified"
"DGCC 18:5_20:5","DGCC(18:5/20:5)","Modified"
"TAG 58:10","TG(58:10)","Modified"
"TAG 62:14","TG(62:14)","Modified"
"PI 47:2","PI(47:2)","Modified"
"TAG 60:10","TG(60:10)","Modified"
"RIKEN P-VS1 ID-19877 from Mouse_Kidney_fads2KO_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-19882 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"20230830-Pos-unknown-1",NA,"Skipped"
"CL 70:4","CL(70:4)","Modified"
"HexCer 18:1","HexCer18:1","Modified"
"MGDG 20:0_18:5","MGDG(20:0/18:5)","Modified"
"HexCer18:1","HexCer18:1","No Change"
"RIKEN P-VS1 ID-18116 from Mouse_Kidney_WT_N_F1DHA",NA,"Skipped"
"PC 42:6_44:12","PC(42:6/44:12)","Modified"
"CL 72:6","CL(72:6)","Modified"
"TAG 66:18","TG(66:18)","Modified"
"GM3 15:1","GM(315:1)","Modified"
"TAG 16:2_17:1_20:4","TG(16:2/17:1/20:4)","Modified"
"DGGA 25:0_14:1","DGGA(25:0/14:1)","Modified"
"RIKEN P-VS1 ID-13291 from Mouse_Kidney_WT_N_F1EPA",NA,"Skipped"
"PC 12:0_24:3","PC(12:0/24:3)","Modified"
"RIKEN P-VS1 ID-19871 from Mouse_Feces_WT_N_Ctr",NA,"Skipped"
"TAG 60:8","TG(60:8)","Modified"
"PC 34:3","PC(34:3)","Modified"
"Cer 18:0","Cer18:0","Modified"
"PC 86:16","PC(86:16)","Modified"
"PC 31:3","PC(31:3)","Modified"
"PC 37:5","PC(37:5)","Modified"
"PI 32:1","PI(32:1)","Modified"
"TAG 18:1_22:6_22:6","TG(18:1/22:6/22:6)","Modified"
"TAG 62:12","TG(62:12)","Modified"
"TAG 10:0-16:0-18:1","TG(10:0-16:0-18:1)","Modified"
"SM 43:9","SM(43:9)","Modified"
"SM 31:0","SM(31:0)","Modified"
"TAG O-8:0_14:1_14:1","TG(O-8:0/14:1/14:1)","Modified"
"PC 10:0_40:7","PC(10:0/40:7)","Modified"
"PS 22:2_18:5","PS(22:2/18:5)","Modified"
"PE 40:6e","PE(40:6e)","Modified"
"RIKEN P-VS1 ID-19944 from Mouse_Brain_fat1TAG_N_w6rich",NA,"Skipped"
"PC 36:5","PC(36:5)","Modified"
"SM 20:0","SM(20:0)","Modified"
"SPB 20:1","SPB(20:1)","Modified"
"PC 30:1","PC(30:1)","Modified"
"RIKEN P-VS1 ID-12218 from Mouse_Brain_WT_N_F1AA",NA,"Skipped"
"PC 32:2","PC(32:2)","Modified"
"PS 38:5","PS(38:5)","Modified"
"RIKEN P-VS1 ID-19934 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-20048 from Mouse_Kidney_WT_N_Ctr",NA,"Skipped"
"PC 35:4","PC(35:4)","Modified"
"PC 28:0","PC(28:0)","Modified"
"TAG 57:5","TG(57:5)","Modified"
"GM3 15:1","GM(315:1)","Modified"
"RIKEN P-VS1 ID-19888 from Mouse_Brain_fads2KO_N_Ctr",NA,"Skipped"
"DGGA 33:3","DGGA(33:3)","Modified"
"CL 68:3","CL(68:3)","Modified"
"CL 34:3_40:6","CL(34:3/40:6)","Modified"
"CE 36:6","CE(36:6)","Modified"
"PC O-42:8","PCO-(PCO-42:8)","Modified"
"PE 40:3","PE(40:3)","Modified"
"PC O-36:3","PCO-(PCO-36:3)","Modified"
"PE 36:2e","PE(36:2e)","Modified"
"RIKEN P-VS1 ID-11822 from Mouse_Kidney_fads2KO_N_Ctr",NA,"Skipped"
"CL 68:4","CL(68:4)","Modified"
"PC 48:6","PC(48:6)","Modified"
"20230830-Pos-unknown-9",NA,"Skipped"
"TAG 8:0_28:0_38:0","TG(8:0/28:0/38:0)","Modified"
"RIKEN P-VS1 ID-12097 from Mouse_Kidney_WT_N_F1",NA,"Skipped"
"PE 38:5e","PE(38:5e)","Modified"
"DG O-16:4_6:0","DGO-(DGO-16:4/6:0)","Modified"
"PS 44:8","PS(44:8)","Modified"
"TAG 10:0_20:0_26:2","TG(10:0/20:0/26:2)","Modified"
"PE 38:3","PE(38:3)","Modified"
"PC(16:0/0:0)","PC(16:0/0:0)","No Change"
"LPC 18:0 +[M+Na]+",NA,"Skipped"
"RIKEN P-VS1 ID-18569 from Mouse_Muscle_fads2KO_N_Ctr",NA,"Skipped"
"SM 32:0","SM(32:0)","Modified"
"PC 42:6","PC(42:6)","Modified"
"RIKEN P-VS1 ID-19954 from Mouse_Brain_fads2KO_N_Ctr",NA,"Skipped"
"PG 16:1_24:1","PG(16:1/24:1)","Modified"
"Hex2Cer 16:1","Hex2Cer16:1","Modified"
"RIKEN P-VS1 ID-19451 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"CL 74:8","CL(74:8)","Modified"
"TAG 14:1_16:2_22:5","TG(14:1/16:2/22:5)","Modified"
"PC O-31:2","PCO-(PCO-31:2)","Modified"
"SM 30:0","SM(30:0)","Modified"
"PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","No Change"
"CL 66:3","CL(66:3)","Modified"
"TAG 62:14","TG(62:14)","Modified"
"TAG 19:0_21:1_21:1","TG(19:0/21:1/21:1)","Modified"
"PE O-28:0_28:0","PEO-(PEO-28:0/28:0)","Modified"
"RIKEN P-VS1 ID-7017 from Cell_C2C12_WT_N_12hCtr",NA,"Skipped"
"SM 38:2","SM(38:2)","Modified"
"TAG 16:3_24:0_24:1","TG(16:3/24:0/24:1)","Modified"
"DGGA 18:2_22:5","DGGA(18:2/22:5)","Modified"
"CL 68:5","CL(68:5)","Modified"
"TAG 62:4","TG(62:4)","Modified"
"RIKEN P-VS1 ID-20069 from Mouse_Brain_WT_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-14875 from Mouse_Macrophage_WT_N_F1EPA",NA,"Skipped"
"PC O-37:7","PCO-(PCO-37:7)","Modified"
"TAG 19:0_21:1_22:1","TG(19:0/21:1/22:1)","Modified"
"SM 77:3","SM(77:3)","Modified"
"RIKEN P-VS1 ID-20057 from Mouse_Brain_fads2KO_N_Ctr",NA,"Skipped"
"PC 38:6","PC(38:6)","Modified"
"CL 72:7","CL(72:7)","Modified"
"DGGA 13:0_20:4","DGGA(13:0/20:4)","Modified"
"RIKEN P-VS1 ID-19783 from Mouse_Brain_fads2KO_N_Ctr",NA,"Skipped"
"CL 70:6","CL(70:6)","Modified"
