"original","standardized","status"
"PC O-38:5","PCO-(PCO-38:5)","Modified"
"RIKEN P-VS1 ID-17029 from Mouse_Brain_WT_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-17389 from Mouse_Adipose_WT_N_F1EPA",NA,"Skipped"
"TAG 52:1","TG(52:1)","Modified"
"DAG 36:2","DAG(36:2)","Modified"
"20230830-Pos-unknown-4",NA,"Skipped"
"CAR 15:0","CAR(15:0)","Modified"
"TAG 58:5","TG(58:5)","Modified"
"TAG 15:0/18:2/18:3","TG(15:0/18:2/18:3)","Modified"
"20230830-Pos-unknown-5",NA,"Skipped"
"CE 24:4","CE(24:4)","Modified"
"TAG 51:2","TG(51:2)","Modified"
"TAG 56:4","TG(56:4)","Modified"
"TAG 16:3_21:1_26:1","TG(16:3/21:1/26:1)","Modified"
"TAG O-18:2_18:4_20:1","TG(O-18:2/18:4/20:1)","Modified"
"PC 34:1","PC(34:1)","Modified"
"Cer 38:4","Cer38:4","Modified"
"LPC 18:1 -A","LPC(18:1-A)","Modified"
"TAG 55:4","TG(55:4)","Modified"
"TAG 46:1","TG(46:1)","Modified"
"Cer-NS d18:1/20:0","Cerd18:1/20:0","Modified"
"Cer 39:1","Cer39:1","Modified"
"PE 8:0_16:4","PE(8:0/16:4)","Modified"
"PC 36:4","PC(36:4)","Modified"
"TAG 16:0_18:1_20:0","TG(16:0/18:1/20:0)","Modified"
"RIKEN P-VS1 ID-1305 from Blank",NA,"Skipped"
"TAG O-14:0_20:2_22:6","TG(O-14:0/20:2/22:6)","Modified"
"PE O-22:6_22:4","PEO-(PEO-22:6/22:4)","Modified"
"SM 43:2","SM(43:2)","Modified"
"RIKEN P-VS1 ID-16949 from Mouse_Kidney_WT_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-15680 from Mouse_Kidney_WT_N_F1EPA",NA,"Skipped"
"TAG 53:3","TG(53:3)","Modified"
"PE 38:4","PE(38:4)","Modified"
"PC 38:6e","PC(38:6e)","Modified"
"PC O-40:9","PCO-(PCO-40:9)","Modified"
"TAG 17:1_20:2_22:6","TG(17:1/20:2/22:6)","Modified"
"TAG 58:4","TG(58:4)","Modified"
"SM 18:2","SM(18:2)","Modified"
"DGCC 20:4_20:4","DGCC(20:4/20:4)","Modified"
"TAG 17:1_22:4_22:6","TG(17:1/22:4/22:6)","Modified"
"TAG 55:8","TG(55:8)","Modified"
"SM 31:2","SM(31:2)","Modified"
"TAG 46:1","TG(46:1)","Modified"
"SM 40:4","SM(40:4)","Modified"
"PG 34:1","PG(34:1)","Modified"
"CAR 16:0","CAR(16:0)","Modified"
"Cer-NS d18:1/23:1","Cerd18:1/23:1","Modified"
"CAR 20:1","CAR(20:1)","Modified"
"PC 36:1","PC(36:1)","Modified"
"PC 44:12","PC(44:12)","Modified"
"RIKEN P-VS1 ID-17787 from Mouse_Adipose_WT_N_F1EPA",NA,"Skipped"
"TAG 8:0_26:6_32:9","TG(8:0/26:6/32:9)","Modified"
"LDGCC 16:1","LDGCC(16:1)","Modified"
"RIKEN P-VS1 ID-6350 from Mouse_Macrophage_WT_N_F1AA",NA,"Skipped"
"PC O-36:6","PCO-(PCO-36:6)","Modified"
"Cer 41:4","Cer41:4","Modified"
"PG 36:3","PG(36:3)","Modified"
"PI 38:4","PI(38:4)","Modified"
"DGCC 17:2_28:2","DGCC(17:2/28:2)","Modified"
"TAG 17:1_22:5_22:6","TG(17:1/22:5/22:6)","Modified"
"PC O-34:8","PCO-(PCO-34:8)","Modified"
"Cer-NS d18:1/24:0","Cerd18:1/24:0","Modified"
"TAG 51:2","TG(51:2)","Modified"
"SM 42:1","SM(42:1)","Modified"
"Ceramide(d18:1/18:0) [standard confirm]",NA,"Skipped"
"PG 38:5","PG(38:5)","Modified"
"PS 22:5_22:6","PS(22:5/22:6)","Modified"
"DGCC 15:0_28:2","DGCC(15:0/28:2)","Modified"
"RIKEN P-VS1 ID-15436 from Mouse_Feces_WT_ABX_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-14820 from Mouse_SmallIntestine_WT_N_F1AA",NA,"Skipped"
"RIKEN P-VS1 ID-17433 from Mouse_Lung_WT_N_F1",NA,"Skipped"
"RIKEN P-VS1 ID-6912 from Mouse_SmallIntestine_WT_N_F1",NA,"Skipped"
"LPC O-18:2","LPCO-(LPCO-18:2)","Modified"
"TAG 54:4","TG(54:4)","Modified"
"PE O-18:5_16:0","PEO-(PEO-18:5/16:0)","Modified"
"TAG 46:2","TG(46:2)","Modified"
"TAG 51:6","TG(51:6)","Modified"
"RIKEN P-VS1 ID-16991 from Mouse_Adipose_WT_N_F1",NA,"Skipped"
"PI 38:5","PI(38:5)","Modified"
"TAG 19:2_20:2_20:4","TG(19:2/20:2/20:4)","Modified"
