"variable_id"	"Alignment.ID"	"rt"	"mz"	"Compound.name"	"Adduct"	"Post_curation_result"	"zero_freq"	"zero_freq.1"	"zero_freq.2"	"zero_freq.3"	"zero_freq.4"	"note"	"All_identifications"	"lipid_class"
"27"	"lipid_27"	1739	913.68	978.78656	"HBMP 48:0"	"[M+NH4]+"	"found in higher mz's MsMs_1895"	0	0	0	0	0	NA	"HBMP 48:0|HBMP 16:0_16:0_16:0"	"HBMP"
"28"	"lipid_28"	1287	414.54	830.5484	"PC 40:8"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC 40:8|PC 20:4_20:4"	"PC"
"29"	"lipid_29"	1532	960.66	890.82025	"TAG 53:2"	"[M+H]+"	"ion correlated with 1446; adduct linked to 1542_[M+Na]+"	0	0	0	0	0	"[MS2 confirm]"	"TAG 53:2"	"TAG"
"30"	"lipid_30"	1183	926.52	808.74115	"TAG 47:1"	"[M+H]+"	"similar chromatogram in higher mz_1484"	0	0	0	0	0	"[MS2 confirm]"	"TAG 47:1"	"TAG"
"31"	"lipid_31"	1300	342.9	832.58844	"PC 40:7"	"[M+H]+"	"found in higher mz's MsMs_1963"	0	0	0	0	0	"[MS2 confirm]"	"PC 40:7; PC 20:3-20:4"	"PC"
"32"	"lipid_32"	1760	863.16	990.75964	"DGGA 27:0_22:5"	"[M+NH4]+"	"ion correlated with 1824; adduct linked to 1794_[M+K]+"	0.0555555555555556	0.25	0	0	0	"w/o MS2"	"DGGA 27:0_22:5"	"DGGA"
"33"	"lipid_33"	1046	591.72	781.61792	"SM 40:4"	"[M+H]+"	NA	0	0	0	0	0	NA	"SM 40:4;2O|SM 18:1;2O/22:3"	"SM"
"34"	"lipid_34"	1351	944.52	841.72913	"TAG 49:1"	"[M+Na]+"	"adduct linked to 1323_[M+NH4]+"	0	0	0	0	0	NA	"TAG 49:1|TAG 16:0_16:0_17:1"	"TAG"
"35"	"lipid_35"	1697	960.84	959.8053	"TAG 58:5"	"[M+H]+"	"ion correlated with 1637; adduct linked to 1689_[M+NH4]+; found in higher mz's MsMs_1822; found in higher mz's MsMs_1813; found in higher mz's MsMs_1745"	0	0	0	0	0	"[MS2 confirm]"	"TAG 58:5"	"TAG"
"36"	"lipid_36"	590	776.82	662.57452	"DAG 38:4 (interference)"	"[M+NH4]+"	"adduct linked to 537_[M+H]+; adduct linked to 609_[M+Na]+; adduct linked to 646_[M+H]+; found in higher mz's MsMs_1385; found in higher mz's MsMs_1469"	0	0	0	0	0	"[MS2 confirm]"	"DAG 38:4 (interference)"	"DAG"
"37"	"lipid_37"	616	921.72	671.50409	"SM 30:3"	"[M+H]+"	"found in higher mz's MsMs_739; found in higher mz's MsMs_1418; found in higher mz's MsMs_1908; found in higher mz's MsMs_1940; found in higher mz's MsMs_1688; found in higher mz's MsMs_760; found in higher mz's MsMs_824; similar chromatogram in higher mz_689; found in higher mz's MsMs_689; found in higher mz's MsMs_1753"	0	0	0	0	0	"w/o MS2"	"SM 30:3;2O/2:0"	"SM"
"38"	"lipid_38"	1101	539.4	792.58868	"PC O-38:6"	"[M+H]+"	"adduct linked to 1227_[M+ACN+H]+"	0	0	0	0	0	NA	"PC O-38:6"	"PC"
"39"	"lipid_39"	801	446.94	731.60962	"SM d36:1"	"[M+H]+"	"similar chromatogram in higher mz_1426; found in higher mz's MsMs_1426; adduct linked to 1927_[2M+H]+; similar chromatogram in higher mz_802; similar chromatogram in higher mz_937; similar chromatogram in higher mz_1919; found in higher mz's MsMs_1927; found in higher mz's MsMs_1919; found in higher mz's MsMs_937; found in higher mz's MsMs_822; found in higher mz's MsMs_802"	0	0	0	0	0	"[MS2 confirm]"	"SM d36:1; SM d18:1/18:0"	"SM"
"40"	"lipid_40"	1467	953.34	871.71887	"RIKEN P-VS1 ID-14156 from Mouse_Kidney_WT_N_F1AA"	"[M+K]+"	"adduct linked to 1387_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-14156 from Mouse_Kidney_WT_N_F1AA"	"RIKEN"
"41"	"lipid_41"	1029	362.16	778.57629	"PC O-37:6"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC O-37:6"	"PC"
"42"	"lipid_42"	982	456.9	768.59149	"PC 35:4"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"PC 35:4; PC 15:0-20:4"	"PC"
"43"	"lipid_43"	681	778.8	693.54431	"SM 32:0"	"[M+H]+"	"adduct linked to 663_[M+NH4]+"	0	0	0	0	0	NA	"SM 32:0;3O"	"SM"
"44"	"lipid_44"	1933	338.22	1467.12878	"DGCC 44:11_44:12"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"DGCC 44:11_44:12"	"DGCC"
"45"	"lipid_45"	1728	893.34	974.73279	"HBMP 14:0_16:1_18:1"	"[M+H]+"	"found in higher mz's MsMs_1778"	0	0	0	0	0	"w/o MS2"	"HBMP 14:0_16:1_18:1"	"HBMP"
"46"	"lipid_46"	1429	972.54	860.81061	"TAG O-18:1_16:1_18:1"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG O-18:1_16:1_18:1"	"TAG"
"47"	"lipid_47"	1511	219.48	886.56097	"BMP 44:11"	"[M+NH4]+"	"adduct linked to 1460_[M+H]+"	0	0	0	0	0	NA	"BMP 44:11|BMP 22:5_22:6"	"BMP"
"48"	"lipid_48"	1668	930.72	945.73566	"RIKEN P-VS1 ID-16512 from Mouse_Kidney_WT_N_F1DHA"	"[M+K]+"	"adduct linked to 1613_[M+NH4]+; adduct linked to 1814_[M+ACN+Na]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-16512 from Mouse_Kidney_WT_N_F1DHA"	"RIKEN"
"49"	"lipid_49"	586	623.88	660.56042	"DAG 38:5"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"DAG 38:5; DAG 18:1-20:4"	"DAG"
"50"	"lipid_50"	1313	972.96	834.79443	"TAG O-50:2"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG O-50:2|TAG O-18:0_16:0_16:1"	"TAG"
"51"	"lipid_51"	1754	957.96	986.87183	"DGTS 26:1_26:2"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"DGTS 26:1_26:2"	"DGTS"
"52"	"lipid_52"	927	592.32	759.63922	"SM d38:1"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"SM d38:1; SM d18:1/20:0"	"SM"
"53"	"lipid_53"	1283	780.36	827.69305	"SM 43:2"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"SM 43:2;2O"	"SM"
"54"	"lipid_54"	1607	946.8	921.73676	"RIKEN P-VS1 ID-15865 from Mouse_Kidney_WT_N_F1EPA"	"[M+H]+"	"adduct linked to 1751_[M+ACN+Na]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-15865 from Mouse_Kidney_WT_N_F1EPA"	"RIKEN"
"55"	"lipid_55"	1324	976.8	836.81	"TAG O-50:1"	"[M+H]+"	"ion correlated with 365"	0	0	0	0	0	"[MS2 confirm]"	"TAG O-50:1|TAG O-16:0_16:0_18:1"	"TAG"
"56"	"lipid_56"	660	336.6	688.52429	"PC O-30:2"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC O-30:2"	"PC"
